"PC1","PC2","PC3","register","file_names"
-0.950573587360358,3.60101998966536,-0.333367030867542,"Hemingway","hem_bthr_MAT.txt"
-1.52994931014811,3.63512068412278,0.394749005240833,"Hemingway","hem_cat_MAT.txt"
-5.82962484799014,-2.70740190329078,-2.91020501413154,"Hemingway","hem_hills_MAT.txt"
-2.48397055772869,0.946935609150178,1.07453830599567,"Hemingway","hem_indian_MAT.txt"
-2.26368117559141,-2.05029221861384,3.81435229466568,"Hemingway","hem_soldier_MAT.txt"
2.18733408098647,-1.46031232772226,0.405992856311891,"Lovecraft","hpl_colour_MAT.txt"
3.95604991432298,-1.56110483988617,-0.0702339078054046,"Lovecraft","hpl_cthulhu_MAT.txt"
1.9908334950351,-0.877656154951333,-0.0101139846965172,"Lovecraft","hpl_dunwich_MAT.txt"
2.9313858897804,1.15629548507623,-1.33289676258072,"Lovecraft","hpl_mountain_MAT.txt"
1.99219609869374,-0.682604323550159,-1.03281576213235,"Lovecraft","hpl_outsider_MAT.txt"
